rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,2523136,3.311161994934082,11.934121984,1.4016892910003662,4.062056169083255
16,32,5046272,3.317735715707143,10.834700288,1.3182380199432373,3.7368313509025133
64,128,20185088,3.354052722454071,13.241565184,1.3138335943222046,3.720408947334764
